,Borough,Neighborhood,latitude,longitude
119,South Delhi,Safdarjung Enclave,28.5656419,77.1934382
120,South Delhi,Sainik Farm,28.503746,77.21607253402124
121,South Delhi,Saket,28.5244107,77.2137253
122,South Delhi,Sangam Vihar,28.49770245,77.23917410450832
123,South Delhi,Sarita Vihar,28.5285737,77.2883311
124,South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
125,South Delhi,Shahpur Jat,28.5483303,77.214104
126,South Delhi,Siri Fort,28.5521464,77.2246983
127,South Delhi,South Extension,28.5685664,77.2205677
128,South Delhi,Sriniwaspuri,28.5652204,77.2547041
130,South Delhi,Tughlaqabad,28.5111925,77.2623265
131,South Delhi,Badarpur,28.4931698,77.3030239
132,South West Delhi,"Dabri, New Delhi",28.6107697,77.09110590789903
134,South West Delhi,Delhi Cantonment,28.593833099999998,77.13497891459929
135,South West Delhi,Dhaula Kuan,28.5918905,77.1617034
136,South West Delhi,Ghitorni,28.493751,77.1491866
137,South West Delhi,Inderpuri,28.6286841,77.1470979
138,South West Delhi,Kirby Place,28.61174115,77.12852687418376
139,South West Delhi,Kishangarh Village,28.5194277,77.1665351
140,South West Delhi,Mahipalpur,28.544537,77.1279229
141,South West Delhi,Moti Bagh,28.667837249999998,77.18180988488024
142,South West Delhi,Munirka,28.554886,77.1710841
143,South West Delhi,Najafgarh,28.612304,76.9823908
144,South West Delhi,Naraina,28.6220547,77.1386441
145,South West Delhi,Palam,28.5918933,77.0828242
146,South West Delhi,Rama Krishna Puram,28.5755607,77.17230336809229
147,South West Delhi,Rajokri,28.5131702,77.1107659
148,South West Delhi,Rangpuri,28.5400349,77.1197754
149,South West Delhi,Sarojini Nagar,28.5741575,77.1953703
151,South West Delhi,Vasant Kunj,28.5292495,77.1541335
152,South West Delhi,Vasant Vihar,28.56069055,77.16079073168567
153,West Delhi,Ashok Nagar,28.6360207,77.101822
154,West Delhi,Bali Nagar,28.6541384,77.128178
155,West Delhi,Fateh Nagar,28.6316154,77.1008776
156,West Delhi,Janakpuri,28.6219272,77.0874757
157,West Delhi,Kirti Nagar,28.6532807,77.1417729
158,West Delhi,Meera Bagh,28.658844000000002,77.09084750605237
159,West Delhi,Moti Nagar,28.657859,77.1424288
160,West Delhi,Nehru Nagar,28.5685108,77.2513847
162,West Delhi,Paschim Vihar,28.6695782,77.095956
163,West Delhi,Patel Nagar,28.6598088,77.156957
164,West Delhi,Punjabi Bagh,28.668945,77.1324614
165,West Delhi,Rajouri Garden,28.6451121,77.1239332
166,West Delhi,Shivaji Place,28.651657,77.1217027
167,West Delhi,Tihar Village,28.6346361,77.1071121
168,West Delhi,Tilak Nagar,28.63964975,77.09403946346426
169,West Delhi,Uttam Nagar,28.6190739,77.0566861
170,West Delhi,Vikas Nagar,28.6440092,77.05447042853372
171,West Delhi,Vikaspuri,28.638419050000003,77.07083614685489
